Benchmark,gcc
Experiment,cb-7-q100
Time,0.000000
Cycles,2
DEAD_ENABLE,1
DYNAMIC_S,1
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,40000000
WARMUP_TREE,39000000
WARMUP_CACHE,1000000
DEADQ_SIZE,100
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,4
S_INC,5
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,84934649
BLOCK,33260542
Z    ,12
L10,5+2
L11,5+2
L12,5+2
L13,5+2
L14,5+2
L15,5+2
L16,5+2
L17,5+2
L18,5+2
L19,5+0
L20,5+0
L21,5+0
L22,5+0
L23,5+0
ePL,88
space,84934649
space_ratio,42.187499%
tracectr,2
invokectr,2
ringctr,5
ringdum,0
ring_evictctr,1
shuff_tc+,0
pos1_access,1
pos2_access,2
cache_hit,-nan%
cache_evict,-nan%
hitctr,0
missctr,0
rmiss,0
wmiss,0
nonmemops_sum,0
nonmemops_executed,10
topctr,0.000000%
midctr,0.000000%
botctr,100.000000%
stashctr,3
stash_hit,0
dram_norm_r,0
dram_norm_w,0
dram_inplace_r,158
dram_remote_r,0
dram_inplace_w,5
dram_remote_w,0
dram_total_acc,163
shuff[0],0
shuff[1],0
shuff[2],0
shuff[3],0
shuff[4],0
shuff[5],0
shuff[6],0
shuff[7],0
shuff[8],0
shuff[9],0
shuff[10],0
shuff[11],0
shuff[12],0
shuff[13],0
shuff[14],0
shuff[15],0
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
shuffctr,0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],0
deadQs,20
dead_dram,70
deadctr_arr[0],5
deadctr_arr[1],5
deadctr_arr[2],5
deadctr_arr[3],5
deadctr_arr[4],5
deadctr_arr[5],5
deadctr_arr[6],5
deadctr_arr[7],5
deadctr_arr[8],5
deadctr_arr[9],5
deadctr_arr[10],5
deadctr_arr[11],5
deadctr_arr[12],5
deadctr_arr[13],5
deadctr_arr[14],5
deadctr_arr[15],5
deadctr_arr[16],5
deadctr_arr[17],5
deadctr_arr[18],5
deadctr_arr[19],5
deadctr_arr[20],5
deadctr_arr[21],5
deadctr_arr[22],5
deadctr_arr[23],5
deadctr,120
