Benchmark,gcc
exe_time,6717.140625
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4965898
pos2_access,939779
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.374983%
midctr,19.617712%
botctr,9.007305%
stashctr,4
ringctr,42013629
ring_evictctr,8402719
shuffctr,82017845
shuff_tc+,66251208
shuffctr_dram,66251208
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,29232141
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1477241340
dram_remote_r,30395416
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1787725930
dram_remote_w,44360355
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,13964939
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,29229922
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
